t,x_1,y_1,z_1,v_x_1,v_y_1,v_z_1,x_2,y_2,z_2,v_x_2,v_y_2,v_z_2
0.00000000,6856417.00000000,0.00000000,0.00000000,-0.00000000,-1061.14707227,7550.45374900,6854143.87502908,176538.43289860,0.00000000,27.32232319,-1060.79526754,7550.45374900
60.00000000,6841160.50722824,-63621.59329539,452691.15862385,-508.36107594,-1058.78587069,7533.65292679,6840530.56357106,112545.10936961,452691.15862385,-480.93101055,-1071.52408587,7533.65292679
120.00000000,6795458.92460008,-126960.05259288,903367.71417167,-1014.45980201,-1051.71277397,7483.32522853,6796474.96568322,48050.92842557,903367.71417167,-987.04406593,-1077.48432041,7483.32522853
180.00000000,6719515.63702196,-189733.50392055,1350024.02911817,-1516.04389641,-1039.95925937,7399.69462666,6722173.14117661,-16657.09267499,1350024.02911817,-1488.76449739,-1078.64944644,7399.69462666
240.00000000,6613668.61349955,-251662.58775100,1790672.35714031,-2010.88116875,-1023.57763336,7283.13330089,6617955.75408421,-81290.98502463,1790672.35714031,-1983.85950779,-1075.01427882,7283.13330089
300.00000000,6478388.90308056,-312471.70222983,2223351.68914798,-2496.76945388,-1002.64079876,7134.15998192,6484286.60111292,-145563.10960973,2223351.68914798,-2470.12578498,-1066.59499508,7134.15998192
360.00000000,6314278.53855391,-371890.22968151,2646136.48032636,-2971.54641217,-977.24193039,6953.43764297,6321760.54761767,-209187.43738503,2646136.48032636,-2945.39930716,-1053.42906339,6953.43764297
420.00000000,6122067.85723428,-429653.74093421,3057145.21935237,-3433.09915251,-947.49406037,6741.77054930,6131100.88028315,-271880.82218344,3057145.21935237,-3407.56497336,-1035.57507586,6741.77054930
480.00000000,5902612.25075561,-485505.17210399,3454548.80164965,-3879.37363531,-913.52957508,6500.10067906,5913156.08829446,-333364.26079613,3454548.80164965,-3854.56601630,-1013.11248775,6500.10067906
540.00000000,5656888.35833746,-539195.96860150,3836578.66941876,-4308.38381349,-875.49962606,6229.50353120,5668896.08732144,-393364.13461538,3836578.66941876,-4284.41315552,-986.14126391,6229.50353120
600.00000000,5385989.72046563,-590487.19126985,4201534.68221718,-4718.22047100,-833.57345726,5931.18333920,5399407.90312092,-451613.42731436,4201534.68221718,-4695.19345024,-954.78143388,5931.18333920
660.00000000,5091121.91232920,-639150.57973108,4547792.68306283,-5107.05971937,-787.93765196,5606.46771186,5105890.83396613,-507852.91314498,4547792.68306283,-5085.07881254,-919.17255771,5606.46771186
720.00000000,4773597.17867159,-684969.56820913,4873811.72638983,-5473.17111450,-738.79530232,5256.80172515,4789651.11343182,-561832.31056543,4873811.72638983,-5452.33414282,-879.47310495,5256.80172515
780.00000000,4434828.59393207,-727740.24930849,5178140.93568994,-5814.92535761,-686.36510563,4883.74149111,4452096.09728718,-613311.39606346,5178140.93568994,-5795.32505148,-835.85974932,4883.74149111
840.00000000,4076323.77366682,-767272.28145948,5459425.96032144,-6130.80154614,-630.88039103,4488.94723279,4094728.00036656,-662061.07321866,5459425.96032144,-6112.52513243,-788.52658253,4488.94723279
900.00000000,3699678.16523531,-803389.73599185,5716415.00275068,-6419.39394214,-572.58808112,4074.17589578,3719137.21129057,-707864.39224598,5716415.00275068,-6402.52275604,-737.68425051,4074.17589578
960.00000000,3306567.94761046,-835931.88006687,5947964.38940349,-6679.41822822,-511.74759307,3641.27332926,3326995.21478911,-750517.51548338,5947964.38940349,-6664.02735125,-683.55901593,3641.27332926
1020.00000000,2898742.57191047,-864753.89198366,6153043.66033445,-6909.71722310,-448.62968420,3192.16607150,2920047.15312385,-789830.62452675,6153043.66033445,-6895.87514900,-626.39175132,3192.16607150
1080.00000000,2478016.97584887,-889727.50567660,6330740.15506373,-7109.26603145,-383.51524695,2728.85277622,2500104.05971392,-825628.76497531,6330740.15506373,-7097.03436134,-566.43686712,2728.85277622
1140.00000000,2046263.50675086,-910741.58153537,6480263.07417308,-7277.17660489,-316.69405890,2253.39531799,2069034.79952748,-857752.62502785,6480263.07417308,-7266.60977315,-503.96117941,2253.39531799
1200.00000000,1605403.58908070,-927702.60100750,6600946.99858586,-7412.70169411,-248.46349316,1767.90961633,1628757.75210653,-886059.24446515,6600946.99858586,-7403.84672612,-439.24272261,1767.90961633
1260.00000000,1157399.17356201,-940535.08278229,6692254.85086923,-7515.23817432,-179.12719493,1274.55621925,1181232.27423803,-910422.65086319,6692254.85086923,-7508.13447718,-372.56951205,1274.55621925
1320.00000000,704244.00594482,-949181.91870384,6753780.28537985,-7584.32972933,-108.99373026,775.53068824,728449.98026466,-930734.42020585,6753780.28537985,-7579.00891648,-304.23826230,775.53068824
1380.00000000,247954.75427577,-953604.62791845,6785249.49661643,-7619.66888225,-38.37521282,273.05382739,272425.87884039,-946904.15940236,6785249.49661643,-7616.15463282,-234.55306665,273.05382739
1440.00000000,-209437.96584227,-953783.52812526,6786522.43773126,-7621.09836393,32.41408512,-230.63819986,-184810.59442513,-958859.90856195,6786522.43773126,-7619.40631731,-163.82404383,-230.63819986
1500.00000000,-665898.62806126,-949717.82316798,6757593.44377806,-7588.61181275,103.05913126,-733.30382220,-641224.60852635,-966548.46123566,6757593.44377806,-7588.74949903,-92.36595790,-733.30382220
1560.00000000,-1119395.85395316,-941425.60657805,6698591.25692265,-7522.35380302,173.24553526,-1232.70603613,-1094784.99263246,-969935.60119995,6698591.25692265,-7524.32060945,-20.49681747,-1232.70603613
1620.00000000,-1567911.45321571,-928943.78105334,6609778.45350405,-7422.61920153,242.66094786,-1726.62236122,-1543473.27536939,-969006.25472861,6609778.45350405,-7426.40637527,51.46353958,-1726.62236122
1680.00000000,-2009449.40518733,-912327.89423072,6491550.27549582,-7289.85185533,310.99645094,-2212.85473081,-1985292.66758548,-963764.55767502,6491550.27549582,-7295.44254239,123.19486939,-2212.85473081
1740.00000000,-2442044.74170093,-891651.89148347,6344432.87156810,-7124.64261648,377.94793228,-2689.23927398,-2418276.94862533,-954233.83706645,6344432.87156810,-7132.01193673,194.37794735,-2689.23927398
1800.00000000,-2863772.29174527,-867007.78684354,6169080.95557788,-6927.72671259,443.21743894,-3153.65594544,-2840499.21656509,-940456.50729227,6169080.95557788,-6936.84187049,264.69598874,-3153.65594544
1860.00000000,-3272755.24901791,-838505.25351322,5966274.89290809,-6699.98047487,506.51450324,-3604.03796028,-3250080.46346844,-922493.88134789,5966274.89290809,-6710.80090539,333.83605847,-3604.03796028
1920.00000000,-3667173.52424149,-806271.13578852,5736917.22762195,-6442.41743818,567.55743543,-4038.38099176,-3645197.93750076,-900425.89797476,5736917.22762195,-6454.89498735,401.49046377,-4038.38099176
1980.00000000,-4045271.84507333,-770448.88456632,5482028.66588788,-6156.18383052,626.07457728,-4454.75209112,-4024093.25468786,-874350.76591043,5482028.66588788,-6170.26296975,467.35812351,-4454.75209112
2040.00000000,-4405367.56756141,-731197.91894755,5202743.53354976,-5842.55347201,681.80551104,-4851.29828980,-4385080.22421961,-844384.52683201,5202743.53354976,-5858.17154517,531.14590804,-4851.29828980
2100.00000000,-4745858.16438358,-688692.91677729,4900304.72805758,-5502.92210604,734.50221836,-5226.25484557,-4726552.35247364,-810660.53893808,4900304.72805758,-5520.00960830,592.56994378,-5226.25484557
2160.00000000,-5065228.35654521,-643123.03727918,4576058.18722404,-5138.80118778,783.93018408,-5577.95309624,-5046989.99236419,-773328.88346715,4576058.18722404,-5157.28207494,651.35687648,-5577.95309624
2220.00000000,-5362056.85679721,-594691.07924366,4231446.89942235,-4751.81115779,829.86943981,-5904.82788558,-5344967.10619933,-732555.69679390,4231446.89942235,-4771.60318471,707.24508774,-5904.82788558
2280.00000000,-5635022.69476438,-543612.57851627,3868004.48188187,-4343.67423065,872.11554296,-6205.42452879,-5619157.61195008,-688522.43107556,3868004.48188187,-4364.68931724,759.98585929,-6205.42452879
2340.00000000,-5882911.09563536,-490114.84880243,3487348.35565974,-3916.20673056,910.48048646,-6478.40528619,-5868341.28468876,-641425.04673873,3487348.35565974,-3938.35135376,809.34447985,-6478.40528619
2400.00000000,-6104618.88625248,-434435.97005752,3091172.54766192,-3471.31100822,944.79353552,-6722.55531657,-6091409.18693329,-591473.14040034,3091172.54766192,-3494.48661822,855.10128966,-6722.55531657
2460.00000000,-6299159.40454283,-376823.72896404,2681240.15174662,-3010.96697480,974.90198742,-6936.78808357,-6287368.60373119,-538889.01210369,2681240.15174662,-3035.07043363,897.05265805,-6936.78808357
